winner,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_total_strikes_percentage,blue_total_strikes_percentage,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
1,179,6,0,0,50,104,39,51,50,106,39,52,1,1,12,50,0,0
0,46,6,0,0,98,94,55,45,145,107,63,47,0,0,0,0,0,0
0,70,6,0,0,56,52,56,51,80,60,62,55,11,0,61,0,0,1
1,179,7,0,0,9,18,37,40,9,18,38,41,0,0,0,0,0,1
1,46,7,0,1,13,25,28,47,13,25,28,46,0,0,0,0,0,1
1,70,6,0,0,63,76,42,73,85,99,49,77,2,0,25,0,0,0
0,74,2,1,0,36,14,42,25,36,14,42,25,0,0,0,0,0,0
1,46,2,0,1,15,23,23,45,15,24,23,46,0,0,0,0,0,0
2,103,0,0,0,23,17,33,32,23,17,33,32,0,0,0,0,0,0
0,70,6,0,0,53,29,44,20,57,31,46,21,4,0,80,0,0,0
0,74,9,0,2,36,20,47,54,86,39,54,66,6,0,60,0,0,0
1,190,2,0,1,2,9,18,56,2,9,18,56,0,0,0,0,0,0
1,103,2,0,1,7,9,33,42,7,10,32,43,0,0,0,0,0,0
1,70,6,1,0,33,35,48,40,144,63,74,49,0,1,0,100,0,0
0,46,6,0,0,7,22,24,36,79,37,59,47,2,0,16,0,0,0
1,103,9,0,0,15,27,11,34,35,30,21,36,2,0,40,0,2,0
0,40,2,0,1,45,41,55,30,96,92,67,46,3,1,42,100,0,0
0,179,6,0,0,147,76,56,33,149,80,56,35,0,0,0,0,0,0
0,103,2,1,0,21,19,63,45,21,20,64,47,0,0,0,0,0,0
1,55,6,0,1,64,67,48,52,96,70,57,54,1,1,16,20,0,0
1,103,2,0,0,5,30,31,75,5,30,31,75,0,1,0,100,0,0
0,179,6,1,0,60,77,34,57,74,79,39,59,0,0,0,0,0,0
1,84,6,0,0,63,141,25,49,63,143,25,49,0,0,0,0,0,0
