redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
Donald Cerrone,Jim Miller,Donald Cerrone,UFC Fight Night: Cowboy vs Miller,Dan Miragliotta,KO/TKO,1,0,37 of 78,30 of 65,47%,46%,41 of 82,34 of 69,0 of 2,1 of 6,0%,16%,0,0
Edson Barboza,Evan Dunham,Edson Barboza,UFC Fight Night: Cowboy vs Miller,Keith Peterson,KO/TKO,1,0,10 of 17,10 of 27,58%,37%,10 of 17,10 of 27,0 of 0,0 of 1,---,0%,0,0
Rick Story,Leonardo Mafra,Rick Story,UFC Fight Night: Cowboy vs Miller,Dan Miragliotta,Submission,0,0,24 of 39,11 of 20,61%,55%,53 of 70,21 of 32,3 of 4,0 of 0,75%,---,1,0
Justin Salas,Joe Proctor,Joe Proctor,UFC Fight Night: Cowboy vs Miller,Gasper Oliver,KO/TKO,0,1,35 of 86,25 of 81,40%,30%,35 of 86,29 of 86,0 of 4,0 of 0,0%,---,0,0
John Lineker,Alptekin Ozkilic,John Lineker,UFC Fight Night: Cowboy vs Miller,Keith Peterson,KO/TKO,1,0,133 of 327,88 of 230,40%,38%,134 of 328,94 of 237,2 of 4,1 of 4,50%,25%,0,0
Lucas Martins,Alex White,Lucas Martins,UFC Fight Night: Cowboy vs Miller,Gasper Oliver,KO/TKO,1,0,53 of 140,42 of 159,37%,26%,53 of 140,42 of 159,0 of 1,0 of 0,0%,---,0,0
Gleison Tibau,Pat Healy,Gleison Tibau,UFC Fight Night: Cowboy vs Miller,Dan Miragliotta,Decision - Unanimous,0,0,44 of 93,54 of 132,47%,40%,87 of 143,86 of 168,4 of 6,0 of 3,66%,0%,0,0
Jessamyn Duke,Leslie Smith,Leslie Smith,UFC Fight Night: Cowboy vs Miller,Vitor Ribeiro,KO/TKO,0,1,16 of 36,36 of 59,44%,61%,16 of 36,36 of 59,0 of 0,0 of 0,---,---,0,0
Hugo Viana,Aljamain Sterling,Aljamain Sterling,UFC Fight Night: Cowboy vs Miller,Liam Kerrigan,KO/TKO,0,0,15 of 46,62 of 98,32%,63%,22 of 54,94 of 132,0 of 0,4 of 4,---,100%,0,0
Yosdenis Cedeno,Jerrod Sanders,Yosdenis Cedeno,UFC Fight Night: Cowboy vs Miller,Vitor Ribeiro,TKO - Doctor's Stoppage,1,0,13 of 21,2 of 3,61%,66%,27 of 38,3 of 5,0 of 0,0 of 0,---,---,0,0
Claudia Gadelha,Tina Lahdemaki,Claudia Gadelha,UFC Fight Night: Cowboy vs Miller,Liam Kerrigan,Decision - Unanimous,0,0,70 of 164,29 of 141,42%,20%,132 of 228,49 of 170,5 of 6,0 of 0,83%,---,2,0
Frankie Edgar,BJ Penn,Frankie Edgar,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Herb Dean,KO/TKO,0,0,90 of 162,13 of 66,55%,19%,159 of 236,60 of 116,3 of 3,0 of 0,100%,---,0,0
Corey Anderson,Matt Van Buren,Corey Anderson,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Mario Yamasaki,KO/TKO,0,0,24 of 37,2 of 10,64%,20%,28 of 45,2 of 10,2 of 2,0 of 0,100%,---,0,0
Dhiego Lima,Eddie Gordon,Eddie Gordon,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Yves Lavigne,KO/TKO,0,1,5 of 10,22 of 42,50%,52%,5 of 10,22 of 42,0 of 0,0 of 0,---,---,0,0
Derrick Lewis,Guto Inocente,Derrick Lewis,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Herb Dean,KO/TKO,0,0,6 of 16,6 of 8,37%,75%,7 of 17,8 of 10,1 of 2,0 of 0,50%,---,0,0
Justin Scoggins,Dustin Ortiz,Dustin Ortiz,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Mario Yamasaki,Decision - Split,0,0,24 of 37,39 of 64,64%,60%,32 of 45,100 of 134,5 of 8,2 of 7,62%,28%,3,0
Jesse Ronson,Kevin Lee,Kevin Lee,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Herb Dean,Decision - Split,0,0,48 of 100,49 of 110,48%,44%,51 of 105,66 of 128,1 of 2,4 of 12,50%,33%,1,0
Jumabieke Tuerxun,Leandro Issa,Leandro Issa,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Mario Yamasaki,Submission,0,0,33 of 127,44 of 139,25%,31%,40 of 134,71 of 170,0 of 0,2 of 8,---,25%,0,3
Adriano Martins,Juan Manuel Puig,Adriano Martins,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Yves Lavigne,KO/TKO,1,0,9 of 24,13 of 51,37%,25%,10 of 25,13 of 51,0 of 0,0 of 0,---,---,0,0
Patrick Walsh,Daniel Spohn,Patrick Walsh,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Mark Smith,Decision - Unanimous,0,0,11 of 24,24 of 51,45%,47%,110 of 127,52 of 80,5 of 7,0 of 1,71%,0%,3,2
Sarah Moras,Alexis Dufresne,Sarah Moras,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Yves Lavigne,Decision - Unanimous,0,0,15 of 34,12 of 28,44%,42%,123 of 149,65 of 86,1 of 2,3 of 3,50%,100%,0,0
Robert Drysdale,Keith Berish,,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,Mark Smith,Overturned,0,0,0 of 5,0 of 0,0%,---,2 of 7,1 of 1,1 of 1,0 of 0,100%,---,3,0
Chris Weidman,Lyoto Machida,Chris Weidman,UFC 175: Weidman vs Machida,Herb Dean,Decision - Unanimous,0,0,65 of 177,58 of 139,36%,41%,90 of 206,63 of 145,5 of 13,0 of 0,38%,---,0,0
Ronda Rousey,Alexis Davis,Ronda Rousey,UFC 175: Weidman vs Machida,Yves Lavigne,KO/TKO,0,0,14 of 16,2 of 6,87%,33%,14 of 16,2 of 6,1 of 1,0 of 0,100%,---,0,0
Uriah Hall,Thiago Santos,Uriah Hall,UFC 175: Weidman vs Machida,Yves Lavigne,Decision - Unanimous,0,0,42 of 113,44 of 129,37%,34%,42 of 113,48 of 133,1 of 1,0 of 2,100%,0%,1,0
Marcus Brimage,Russell Doane,Russell Doane,UFC 175: Weidman vs Machida,Mario Yamasaki,Decision - Split,0,0,27 of 75,24 of 72,36%,33%,33 of 81,37 of 86,2 of 2,3 of 9,100%,33%,0,0
Urijah Faber,Alex Caceres,Urijah Faber,UFC 175: Weidman vs Machida,Herb Dean,Submission,0,0,20 of 38,20 of 45,52%,44%,41 of 62,35 of 62,5 of 12,0 of 0,41%,---,1,0
Kenny Robertson,Ildemar Alcantara,Kenny Robertson,UFC 175: Weidman vs Machida,Chris Tognoni,Decision - Unanimous,0,0,70 of 110,22 of 65,63%,33%,135 of 195,25 of 71,3 of 10,1 of 2,30%,50%,2,0
Chris Camozzi,Bruno Santos,Bruno Santos,UFC 175: Weidman vs Machida,Mario Yamasaki,Decision - Split,0,0,42 of 85,25 of 51,49%,49%,67 of 111,45 of 82,0 of 1,4 of 6,0%,66%,1,0
George Roop,Rob Font,Rob Font,UFC 175: Weidman vs Machida,Chris Tognoni,KO/TKO,0,1,10 of 37,12 of 23,27%,52%,10 of 37,12 of 23,0 of 0,0 of 0,---,---,0,0
Luke Zachrich,Guilherme Vasconcelos,Luke Zachrich,UFC 175: Weidman vs Machida,Mario Yamasaki,Decision - Unanimous,0,0,66 of 226,49 of 166,29%,29%,66 of 226,49 of 166,1 of 1,0 of 3,100%,0%,0,0
Kevin Casey,Bubba Bush,,UFC 175: Weidman vs Machida,Chris Tognoni,Overturned,1,0,15 of 18,2 of 4,83%,50%,24 of 27,2 of 4,0 of 0,0 of 0,---,---,0,0
Cub Swanson,Jeremy Stephens,Cub Swanson,UFC Fight Night: Swanson vs Stephens,Herb Dean,Decision - Unanimous,0,0,87 of 219,65 of 228,39%,28%,103 of 236,76 of 239,0 of 0,2 of 8,---,25%,0,0
Kelvin Gastelum,Nicholas Musoke,Kelvin Gastelum,UFC Fight Night: Swanson vs Stephens,Kerry Hatley,Decision - Unanimous,0,0,67 of 174,36 of 128,38%,28%,97 of 207,42 of 134,0 of 0,2 of 6,---,33%,0,0
Cezar Ferreira,Andrew Craig,Cezar Ferreira,UFC Fight Night: Swanson vs Stephens,Jacob Montalvo,Decision - Unanimous,0,1,20 of 61,16 of 67,32%,23%,31 of 72,56 of 114,2 of 4,0 of 1,50%,0%,0,0
Ricardo Lamas,Hacran Dias,Ricardo Lamas,UFC Fight Night: Swanson vs Stephens,Kerry Hatley,Decision - Unanimous,0,0,33 of 94,31 of 74,35%,41%,50 of 111,57 of 100,2 of 11,2 of 5,18%,40%,1,0
Clint Hester,Antonio Braga Neto,Clint Hester,UFC Fight Night: Swanson vs Stephens,Herb Dean,Decision - Split,0,0,40 of 78,16 of 32,51%,50%,50 of 88,73 of 95,1 of 1,3 of 8,100%,37%,0,0
Joe Ellenberger,James Moontasri,Joe Ellenberger,UFC Fight Night: Swanson vs Stephens,Frank Collazo,Decision - Split,0,1,22 of 37,35 of 67,59%,52%,50 of 73,119 of 163,3 of 10,0 of 0,30%,---,2,0
Colton Smith,Diego Ferreira,Diego Ferreira,UFC Fight Night: Swanson vs Stephens,Herb Dean,Submission,0,0,2 of 3,7 of 10,66%,70%,2 of 3,7 of 10,0 of 0,1 of 1,---,100%,0,1
Johnny Bedford,Cody Gibson,Cody Gibson,UFC Fight Night: Swanson vs Stephens,Kerry Hatley,KO/TKO,0,1,7 of 11,3 of 8,63%,37%,7 of 11,3 of 8,0 of 0,0 of 0,---,---,0,0
Marcelo Guimaraes,Andy Enz,Marcelo Guimaraes,UFC Fight Night: Swanson vs Stephens,Frank Collazo,Decision - Split,0,0,78 of 166,42 of 229,46%,18%,85 of 174,51 of 239,3 of 9,0 of 0,33%,---,0,0
Ray Borg,Shane Howell,Ray Borg,UFC Fight Night: Swanson vs Stephens,Jacob Montalvo,Submission,0,0,2 of 3,0 of 3,66%,0%,6 of 8,2 of 5,1 of 1,0 of 0,100%,---,2,0
Aleksei Oleinik,Anthony Hamilton,Aleksei Oleinik,UFC Fight Night: Swanson vs Stephens,Herb Dean,Submission,0,0,10 of 22,6 of 14,45%,42%,13 of 26,6 of 14,1 of 4,0 of 1,25%,0%,1,0
James Te Huna,Nate Marquardt,Nate Marquardt,UFC Fight Night: Te Huna vs Marquardt,John Sharp,Submission,0,1,6 of 10,17 of 27,60%,62%,17 of 21,29 of 40,0 of 1,2 of 2,0%,100%,0,1
Soa Palelei,Jared Rosholt,Jared Rosholt,UFC Fight Night: Te Huna vs Marquardt,Steve Perceval,Decision - Unanimous,0,0,11 of 25,43 of 58,44%,74%,46 of 62,148 of 177,0 of 5,1 of 4,0%,25%,0,0
Hatsu Hioki,Charles Oliveira,Charles Oliveira,UFC Fight Night: Te Huna vs Marquardt,John Sharp,Submission,0,0,11 of 27,24 of 38,40%,63%,31 of 51,33 of 52,3 of 4,3 of 5,75%,60%,0,2
Robert Whittaker,Mike Rhodes,Robert Whittaker,UFC Fight Night: Te Huna vs Marquardt,Steve Perceval,Decision - Unanimous,0,0,66 of 183,47 of 146,36%,32%,93 of 213,52 of 153,1 of 1,0 of 2,100%,0%,0,0
Jake Matthews,Dashon Johnson,Jake Matthews,UFC Fight Night: Te Huna vs Marquardt,Peter Hickmott,Submission,0,0,60 of 85,11 of 15,70%,73%,137 of 167,24 of 28,4 of 11,0 of 1,36%,0%,1,1
Richie Vaculik,Roldan Sangcha'an,Richie Vaculik,UFC Fight Night: Te Huna vs Marquardt,John Sharp,Decision - Unanimous,0,0,27 of 50,36 of 81,54%,44%,55 of 82,40 of 85,4 of 15,1 of 2,26%,50%,2,0
Chris Indich,Vik Grujic,Vik Grujic,UFC Fight Night: Te Huna vs Marquardt,Peter Hickmott,KO/TKO,0,0,14 of 35,15 of 30,40%,50%,20 of 42,24 of 39,1 of 1,1 of 3,100%,33%,0,0
Neil Magny,Rodrigo de Lima,Neil Magny,UFC Fight Night: Te Huna vs Marquardt,John Sharp,KO/TKO,1,0,30 of 55,5 of 14,54%,35%,31 of 57,30 of 41,2 of 2,1 of 3,100%,33%,0,2
Dan Hooker,Ian Entwistle,Dan Hooker,UFC Fight Night: Te Huna vs Marquardt,Steve Perceval,KO/TKO,0,0,12 of 18,1 of 9,66%,11%,51 of 67,1 of 9,0 of 0,0 of 2,---,0%,0,3
Gian Villante,Sean O'Connell,Gian Villante,UFC Fight Night: Te Huna vs Marquardt,Peter Hickmott,Decision - Split,0,1,93 of 164,109 of 228,56%,47%,120 of 194,153 of 276,0 of 1,0 of 4,0%,0%,0,2
Demetrious Johnson,Ali Bagautinov,Demetrious Johnson,UFC 174: Johnson vs Bagautinov,Jerin Valel,Decision - Unanimous,0,0,133 of 215,36 of 122,61%,29%,164 of 248,66 of 158,0 of 4,2 of 12,0%,16%,0,0
Rory MacDonald,Tyron Woodley,Rory MacDonald,UFC 174: Johnson vs Bagautinov,John McCarthy,Decision - Unanimous,0,0,49 of 150,26 of 81,32%,32%,97 of 202,38 of 94,1 of 2,0 of 2,50%,0%,0,0
Ryan Bader,Rafael Cavalcante,Ryan Bader,UFC 174: Johnson vs Bagautinov,Yves Lavigne,Decision - Unanimous,0,0,53 of 94,10 of 37,56%,27%,107 of 154,20 of 47,7 of 16,0 of 0,43%,---,0,0
Andrei Arlovski,Brendan Schaub,Andrei Arlovski,UFC 174: Johnson vs Bagautinov,John McCarthy,Decision - Split,0,0,12 of 55,30 of 88,21%,34%,40 of 86,65 of 136,0 of 1,1 of 5,0%,20%,0,0
Ovince Saint Preux,Ryan Jimmo,Ovince Saint Preux,UFC 174: Johnson vs Bagautinov,Kevin Dornan,KO/TKO,0,0,14 of 34,15 of 29,41%,51%,20 of 40,19 of 34,2 of 4,0 of 1,50%,0%,1,0
Daniel Sarafian,Kiichi Kunimoto,Kiichi Kunimoto,UFC 174: Johnson vs Bagautinov,Yves Lavigne,Submission,0,0,3 of 4,5 of 10,75%,50%,3 of 4,9 of 14,0 of 0,1 of 3,---,33%,1,1
Valerie Letourneau,Elizabeth Phillips,Valerie Letourneau,UFC 174: Johnson vs Bagautinov,Jerin Valel,Decision - Split,0,0,104 of 275,67 of 270,37%,24%,106 of 278,69 of 272,0 of 2,0 of 3,0%,0%,0,0
Yves Jabouin,Mike Easton,Yves Jabouin,UFC 174: Johnson vs Bagautinov,Kevin Dornan,Decision - Unanimous,0,0,60 of 132,42 of 121,45%,34%,81 of 156,110 of 196,5 of 8,0 of 4,62%,0%,0,0
Kajan Johnson,Tae Hyun Bang,Tae Hyun Bang,UFC 174: Johnson vs Bagautinov,John McCarthy,KO/TKO,0,2,29 of 91,34 of 107,31%,31%,29 of 91,40 of 113,4 of 9,0 of 1,44%,0%,0,0
Roland Delorme,Michinori Tanaka,Michinori Tanaka,UFC 174: Johnson vs Bagautinov,Yves Lavigne,Decision - Unanimous,0,0,2 of 20,21 of 37,10%,56%,25 of 44,78 of 103,1 of 1,3 of 4,100%,75%,0,1
Jason Saggo,Josh Shockley,Jason Saggo,UFC 174: Johnson vs Bagautinov,Jerin Valel,KO/TKO,0,0,10 of 24,6 of 12,41%,50%,29 of 45,13 of 20,2 of 3,0 of 0,66%,---,0,1
Benson Henderson,Rustam Khabilov,Benson Henderson,UFC Fight Night: Henderson vs Khabilov,Mario Yamasaki,Submission,1,0,26 of 70,18 of 77,37%,23%,48 of 95,32 of 92,1 of 3,6 of 10,33%,60%,2,0
Diego Sanchez,Ross Pearson,Diego Sanchez,UFC Fight Night: Henderson vs Khabilov,Kevin Mulhall,Decision - Split,0,1,33 of 134,51 of 122,24%,41%,33 of 134,51 of 122,0 of 1,1 of 1,0%,100%,0,0
John Dodson,John Moraga,John Dodson,UFC Fight Night: Henderson vs Khabilov,Mario Yamasaki,TKO - Doctor's Stoppage,1,0,27 of 63,8 of 54,42%,14%,41 of 81,8 of 54,1 of 1,0 of 2,100%,0%,0,0
Rafael Dos Anjos,Jason High,Rafael Dos Anjos,UFC Fight Night: Henderson vs Khabilov,Kevin Mulhall,KO/TKO,1,0,36 of 68,24 of 64,52%,37%,53 of 85,26 of 67,2 of 2,3 of 3,100%,100%,3,0
Yves Edwards,Piotr Hallmann,Piotr Hallmann,UFC Fight Night: Henderson vs Khabilov,Mario Yamasaki,Submission,0,0,27 of 79,56 of 113,34%,49%,31 of 84,96 of 162,1 of 1,4 of 11,100%,36%,0,1
Erik Perez,Bryan Caraway,Bryan Caraway,UFC Fight Night: Henderson vs Khabilov,Raul Porrata,Submission,0,0,10 of 42,7 of 35,23%,20%,21 of 55,17 of 46,1 of 2,2 of 4,50%,50%,0,2
Yaotzin Meza,Sergio Pettis,Sergio Pettis,UFC Fight Night: Henderson vs Khabilov,Kevin Mulhall,Decision - Unanimous,0,0,43 of 114,54 of 161,37%,33%,46 of 121,60 of 168,1 of 6,0 of 0,16%,---,0,0
Bobby Voelker,Lance Benoist,Lance Benoist,UFC Fight Night: Henderson vs Khabilov,Mario Yamasaki,Decision - Unanimous,0,0,37 of 94,56 of 102,39%,54%,74 of 138,81 of 134,0 of 1,2 of 7,0%,28%,0,0
Scott Jorgensen,Danny Martinez,Scott Jorgensen,UFC Fight Night: Henderson vs Khabilov,Kevin Mulhall,Decision - Unanimous,0,1,40 of 97,47 of 143,41%,32%,82 of 152,48 of 144,10 of 15,0 of 2,66%,0%,0,0
Jon Tuck,Jake Lindsey,Jon Tuck,UFC Fight Night: Henderson vs Khabilov,Raul Porrata,KO/TKO,0,0,46 of 83,49 of 75,55%,65%,86 of 126,117 of 144,3 of 5,0 of 2,60%,0%,0,0
Patrick Cummins,Roger Narvaez,Patrick Cummins,UFC Fight Night: Henderson vs Khabilov,Raul Porrata,KO/TKO,0,0,32 of 55,3 of 22,58%,13%,49 of 73,4 of 23,3 of 5,0 of 0,60%,---,1,0
Stipe Miocic,Fabio Maldonado,Stipe Miocic,UFC Fight Night: Miocic vs Maldonado,Mario Yamasaki,KO/TKO,1,0,8 of 14,2 of 8,57%,25%,11 of 18,2 of 8,0 of 0,0 of 0,---,---,0,0
Vitor Miranda,Antonio Carlos Junior,Antonio Carlos Junior,UFC Fight Night: Miocic vs Maldonado,Herb Dean,Decision - Unanimous,0,0,21 of 47,19 of 70,44%,27%,103 of 136,33 of 85,0 of 1,5 of 6,0%,83%,0,1
Marcio Alexandre Junior,Warlley Alves,Warlley Alves,UFC Fight Night: Miocic vs Maldonado,Mario Yamasaki,Submission,0,1,8 of 21,19 of 39,38%,48%,22 of 36,44 of 67,0 of 1,2 of 3,0%,66%,0,1
Demian Maia,Alexander Yakovlev,Demian Maia,UFC Fight Night: Miocic vs Maldonado,Herb Dean,Decision - Unanimous,1,0,29 of 73,22 of 43,39%,51%,83 of 128,24 of 45,2 of 3,1 of 2,66%,50%,0,0
Rony Jason,Robert Peralta,Robert Peralta,UFC Fight Night: Miocic vs Maldonado,Mario Yamasaki,Decision - Split,0,0,30 of 73,51 of 126,41%,40%,40 of 83,81 of 156,2 of 6,1 of 1,33%,100%,1,0
Rodrigo Damm,Rashid Magomedov,Rashid Magomedov,UFC Fight Night: Miocic vs Maldonado,Herb Dean,Decision - Unanimous,0,1,37 of 104,63 of 161,35%,39%,42 of 117,66 of 164,0 of 4,0 of 0,0%,---,0,0
Elias Silverio,Ernest Chavez,Elias Silverio,UFC Fight Night: Miocic vs Maldonado,Osiris Maia,Submission,0,0,65 of 172,54 of 139,37%,38%,65 of 172,61 of 146,1 of 1,0 of 4,100%,0%,1,0
Paulo Thiago,Gasan Umalatov,Gasan Umalatov,UFC Fight Night: Miocic vs Maldonado,Wernei Cardoso,Decision - Unanimous,0,0,42 of 110,24 of 62,38%,38%,48 of 119,46 of 85,1 of 7,1 of 7,14%,14%,0,0
Edimilson Souza,Mark Eddiva,Edimilson Souza,UFC Fight Night: Miocic vs Maldonado,Herb Dean,KO/TKO,0,0,79 of 170,54 of 131,46%,41%,79 of 172,57 of 135,0 of 0,0 of 2,---,0%,0,0
Ricardo Abreu,Wagner Silva,Ricardo Abreu,UFC Fight Night: Miocic vs Maldonado,Osiris Maia,Submission,2,0,33 of 101,17 of 52,32%,32%,43 of 111,20 of 56,0 of 0,0 of 1,---,0%,1,0
Marcos Rogerio de Lima,Richardson Moreira,Marcos Rogerio de Lima,UFC Fight Night: Miocic vs Maldonado,Wernei Cardoso,KO/TKO,1,0,7 of 10,3 of 4,70%,75%,7 of 10,4 of 5,0 of 0,0 of 0,---,---,0,0
Pedro Munhoz,Matt Hobar,Pedro Munhoz,UFC Fight Night: Miocic vs Maldonado,Mario Yamasaki,KO/TKO,0,0,24 of 43,7 of 27,55%,25%,27 of 46,7 of 27,2 of 2,0 of 0,100%,---,1,0
Mark Munoz,Gegard Mousasi,Gegard Mousasi,UFC Fight Night: Munoz vs Mousasi,Marc Goddard,Submission,0,0,3 of 9,18 of 29,33%,62%,3 of 9,30 of 47,0 of 6,0 of 0,0%,---,0,2
